,Commment,Category
1,", pero aun le toca lidiar con el tema de que es chino . ",0
2,". Nano SUV ? Eso no tiene nada de SUV , claramente es un hatchback de los pequeños . ",0
3,". Solo 2 bolsas de aire , sin control de estabilidad , sin llanta de refaccion y $ 500,000 pesos puff mejor un prius c desde $ 345,000 9 bolsas de aire , y todas las asistencias electronicas 👍🏼 ",0
4,. Hagan reseñas de UAZ ! ,0
5,no me quedó claro : - ) . ,0
6,", yo en lo personal prefiero las manuales así me pasa más o menos con el freno de mano . ",0
7,( Opel Astra ) . ,0
10,". No entiendo por qué piensan que `` deportivismo '' es sinónimo de Drift , ",0
13,"es agradable una competencia en ese nicho de autos no europeos y el freno de matraca te deja jugar más que bueno que lo aclaras .. . Estimado Gabo , preguntar si tienen conocimiento , que KIA saque un RÍO hatchback GT ? ",0
14,"Pero esa es mi opinión . Haré una prueba de manejo y ya veremos . Tuve un mazda 3 2.5 de la generacion anterior , y por lo que veo en el video , tiene el modelo nuevo tiene el mismo detalle que le veia al que tuve ",0
15,", , los que crean que no es verdad , tomense la molestia de ver el video en la parte final , ( desde 14:46 a 15:15 ) cuando se ven los discos , las llantas son de 18 pulgadas , honestamente , para ser el 2,5 , deberia tener discos mas grandes , sobre todo los delanteros , si el 2.5 turbo trae los mismos discos , la verdad me pareceria un error Me acaba de surgir una duda gabo , de que tamaño son los discos de otros competidores de la categoria ? ? ? , por ejemplo toyota , subaru ? ? ? . Muchos peros para la estrella de autodinámico ? ",0
17,como muchos Mazdetos dicen . Jeje ,0
18,", entiendo que Mazda destaque más en Acabados pero que acaso no lo que siempre hemos pedido es seguridad antes que todo ? . Creo ",0
19,". De hecho , vehículos eléctricos chinos como el BYD , inicialmente producían baterías y luego empezaron a producir vehículos . ",0
20,"Hoy día BYD solo trae autos eléctricos a Colombia y tiene una flota de buses en la capital y flotillas de taxis en varias ciudades . Mi opinión es : al tener combustibles a bajo precio es un ahorro tanto de la población como del país , dejar de consumir combustibles extranjeros es un ahorro aun mayor . ",0
21,"hasta transporte público hasta los aviones hoy en día no existe “ avión eléctrico ” . Ahora , para tener energías limpias es costoso y poco eficiente hablando de paneles solares y sistemas eólicos ; la única fuente energética 100 % limpia , segura y barata es la nuclear . Lo que hace falta son proyectos de conversión de autos de combustión interna a híbrida y/o eléctrica a bajo costo . A la verga todos ustedes , con sus coches y consoladores eléctricos ! ! ! ! 1 . Precio de compra demasiado elevado , tres veces el precio de uno de gasolina equivalente . 2 . Autonomía , el promedio de los eléctricos 250 km , el promedio de los de gasolina 600 km . 3 . Hay 14 mil gasolineras en todo el país . Solo 900 estaciones de carga , que si las dividimos entre 3 , que son las que regularmente hay en cada punto , en realidad solo son 300 sitios donde cargar , con 3 estaciones cada uno . 4 . 5 minutos para llenar tu tanque de gasolina al 100 % , y además puedes cargar bidones en caso de emergencia . ",0
23,". un auto con un sobreprecio de 80mil pesos 6 airbags no justifica que su plataforma sea vieja e inservible en caso de choque , y que tenga una calidad de autos como chevy o ford , que ya tienen casi 20 años  ",0
24,Saludos 🤘🏿 . ,0
25,"( versiones básicas ) . 304 mil mxn ! ! ! Cómo bien lo dices , ",0
27,etc . ,0
28,saludos .. . ,0
29,". .. lo que es claro es que te puedes divertir igual en un Jimny que un Jeep Wrangler , por menos de la mitad del dinero .. Buena prueba . ",0
30,". Está muy bien la prueba , y muy bien los autos . ",0
31,". Jimny is much more capable than jeep , it 's not even a competition . I mean Jimny with a thin street tyre can keep up with jeep with fat offroad tyres . ",0
32,". No sé , pagar casi 500k por un 3cil que tiene problemas de acelración , creo que me iría por un GTi de 2 o 3 años anteriores , o cualquier otro seminuevo . ",0
33,". Por $ 450,000 pesos , recibes un Kia Forte GT Hatchback 2022 , con nuevo rediseño , motor 2.0 , asistencias de conducción , pantalla de más de 10 ” . Nivus muy padre por fuera , Pero con muchas deficiencias por dentro , y falta de equipamientos , y no se olviden de los servicios postventa VW 🤮 , en fin ",0
34,. Saludos ! . ,0
35,. Excelente vídeo máster felicitaciones usted siempre ecuánime . ,0
36,"e ignorante que no nos enteramos de lo que se vende en otros países . No es mal auto , pero es que está casi en el rango del Jetta base , que le da varias vueltas a este , y el equipamiento es igual o superior en varios aspectos , que el jetta trae rines de acero ? 5mil y compras los de aluminio , fin del asunto , para una persona que tiene un vento , un city , río etc . no vale la pena el cambio , ",0
37,Ya será decisión de cada quien . Máster .... creo que esta algo elevado en precio ... ,0
38,. ahora a esperar que tal se desenvuelve en la ciudad y que fallas le salen en fin ... buenas crítica mi máster saludos ! ! ! .  ,0
39,. Master sinceramente ,0
40,"... . Y si ... Vendido totalmente . En el Vento tienes descansabrszos . Siempre se critica que pongan ese motor viejo , y ahora le llama `` viejo conocido '' . En otros vídeos crítica que tenga ",0
41,". Sin cámara de reversa . Sin llave de presencia Sin botón de encendido . El arcaico 1.6L really ? Mi carro de 2004 tiene ese 1.6 🙄 en efecto bueno llevo 210k km , bien cuidado aún da sus 12k x litro estándar . Tambor ? ? ? No mames máster NO MAME ! El carro es malo por no ofrecer 6 bolsa ni 4 discos . Si nos basamos en lo que hay en el mercado y NOS igualamos a la basura general . NO ES LÓGICO . No tiene aire atrás , en todos sus vídeos SE QUEJA DE QUE NO TIENE NADA ATRAS , cordura ! Seamos un poco más honestos y esperando tener un poco más de valor y precio contenido . ",0
42,"Soy el único que piensa que este le gusto solo por estar hecho en brasil y que si fuera de otro lado lo haría pedazos ? . Sr Oliveira que incongruencia e incoherencia tan más brutal está cometiendo al resaltar éste auto VW Virtus y haber querido ridiculizar al Toyota Corolla en su programa pasado , y casi por el mismo precio , no hay que ser tan inobjetivo , ",0
43,"como la ve ? Le repito , no hay que ser ! ! ! ! ! ! ! ! . Sí es un muy buen auto , sobre todo en el equipamiento interior así como en su consumo de combustible . Pero se mamaron con el precio , del precio del Vento Confortline al Virtus Confortline sí hay una enorme diferencia . ",0
44,", pero como soy pobre sigo en mi pecero : v . ",0
45,. Mi corsa del 2003 ya tenia sensores que detectaban si alguien estaba adentro del auto cuando lo cerrabas y empezaba a sonar la puta alarma . ,0
48,! ! ! . ,0
49,". Mínimo brinquito , poquito menos de adherencia , es para más silencio , te convendría un 2018 '' son mil maneras de decir `` te quieren vender más caro un auto más barato y disfrazar disminución dd calidad mecánica con cambios estéticos . Casi no se nota su `` buena relación '' con Mazda , o cuándo antes llevado a alguien de otras marcas a que defienda sus malos servicios en taller y falta de piezas ? ? Menos corrupción por favor . El master adornando el decir que el quitar la suspensión trasera independiente fue para ahorrar costos , nunca será mejor una de eje de torsión o de eje rígido . En SEAT León siempre recomendaba más la versión FR de 180 HP debido a que tiene suspensión trasera independiente , en lugar del FR de 150 HP que tiene suspensión de eje semirrígido , de hecho en este no se siente la diferencia , sólo en caso de una maniobra de esquiva . La suspensión trasera la cagaron , mejor una suspensión trasera independiente como las generaciones anteriores . Pero los Mazdetos felices con cualquier cosa . ",0
50,"Master sinceramente no es el mismo auto de antes con un poco de ajustes ? La línea de la carrocería pudo variar un poco , pero perdió la suspensión trasera independiente que antes sí tenía , es el mismo motor , misma caja , mismo equipo ( casi ) . Mazda siempre dice que SkyActive es una plataforma completa no sólo el motor , así que basicamente estamos hablando del mismo mazda 3 de antes , de la nueva generación sin el motor por el asunto de la calidad de gasolina . Que poco hablas de la tecnología del motor HR16DE y sus prestaciones y durabilidad . 16 válvulas , inyección estratificada , admision-escape de apertura variable , 158 Nm de torque y el consumo combinado promedio es 17 km/L . Probado en pista 185 Km/h . Subiendo una pendiente de 26° con 4 adultos a 110 km/h le sobra acelerador . ",0
51,". En cuanto a la seguridad , es lamentable que en Mexico les permitan vender autos sin abs y bolsas . Saludos . ",0
52,", 7 bolsas de aire , Carplay , Android Auto , Caja automático de 6 velocidades , mil veces más ágil y con mejor rendimiento de combustible y más barata que esta Touring ! Lo único bueno de HRv , es la cajuela , nada más . ",0
53,". Es una mierda por el precio , ",0
54,".. Que pésimo auto , malos materiales mala ergonomía y espacios , diseño viejo y más caro que los Alemania . ",0
55,". Buena presentación del auto inglés , ",0
59,". Una verdadera porqueria carisima , ",0
60,". No mames con 764 mil me compro un ram heavy duty 6.4 nueva o una laramie casi al mismo precio de esta ... O que tal una lobo xlt 8 cilindros 4x4 doble cabina por 749 mil o si eres fan de chevrolet que tal un cheyenne ltz z71 v8 4x4 por 721 mil las encuentras mas baratas por la llegada de las 2019 ) o si quieres una buena camioenta y no quieres gastar mas de 700 mil una tacoma todas mejores que este vento 4x4 . Ufff demasiado cara para lo que es , ",0
61,. Los Nissan casa ves se venden menos . Nadie los quiere . ,0
62,". Al ver esta cochinada de baja calidad , ",0
63,. Espero que esta línea del Jetta no dure más de 6 años ! ! Está Horrible ! ,0
70,. Fijate que la Ram esta muy genial pero esa suspensión de aire no va a aguantar la friega ... Ya las estoy viendo toda torcida en una brecha con un amortiguador reventado .... ,0
72,". Buena presentación del auto inglés , ",0
73,"Muy buena camioneta , ",0
75,"Para lo que va a servir la camioneta . el video excelente , ",0
76,"Buen vídeo , sigan sacando vídeos para gente pobre como yo . ",0
77,No mamen esa chingadera es un sentra de atrás ? ? ? ? ,0
78,? ? ? . ,0
79, 7.7km/L ? No gracias ! Y por 550mil ... ,0
80, Estará muy bonito ,0
