,Commment,Category
11,"Ya la otra pregunta sería si este Kia es realmente un `` deportivo '' o un generalista con una que otra aspiración a deportivo . Si no entiendo mal , ",0
12,". Interesante como bien mencionas no hay legado , pero solo hay una manera de hacerlo y es empezando ; ",0
16,", pero es tu canal así que decides a quien dársela . Saludos . ",0
22,". 300 mil pesos por un march 🥲 hace 3 o 4 años con eso te comprabas un Mazda 3 , ",0
26,". Comparto tu opinión , ",0
47,? ? . ,0
57,Saludos ! . ,0
58,". Yo tengo un jeep wrangler y ya me compré otro coche para diario , si es precioso pero salía al campo una ves a la semana y el resto era un martirio , duro incómodo brinco ",0
65,", el valor de este auto es q por este precio traes el motor de 240hp , audio de firma , piel napa , ventilación asientos delanteros , cortinas para sol traseros , postes a-b-c , en tipo gamuza , la relación valor precio excelente , el punto es q no divierte en su manejo . ",0
68,. Bueno creo que me excedí pero me inspiré jajaja . Bye . ,0
71,". 6 bolsas de aire , wow ? ? ? ? ? ! ! Aire Ac automático , cámara de reversa ! ! Por esa lana de compras una Vitara Turbo con Tracción Integral y 4 modos de manejo , 7 bolsas de aire , Carplay , Android Auto , ",0
81,"... ? ? ? ? Pues muy rico y todo , pero ",0
83,saludos ! . ,0
86,"Creo que si buscas un manejo deportivo , es mejor opcion un Kia Forte GT . Tengo el 3 versión anterior 2014 2.5 188 hp , como nuevo solo 30 ml km , la verdad no caere en consumismo , no hay mucho cambio , de perfil la gente no nota la diferencia y de frente solo los que tenemos mazda o los cars lovers lo notan . No trae el motor sk X , no tiene susp trasera ind , y hasta menos espacio interior , ",0
95,", saludos Gabo desde colombia .  ",0
101, ¯\_ ( ツ ) _/¯ ,0
111,"y vaya que yo desde mi primer Caribe 82 soy fiel a la marca y he tenido el gusto de tener tres Jetta de diferentes generación . WV se hizo harakiri y enterró vivo a su auto insignia , basta con ver al rededor en las calles ves más kia , Mazda y honda . ",0
124," Primero el Seat León , cupra ni hablar ( aunque ese si justifica un poco ) , ahora Civic , quien sigue ? Mazda3 ? Jetta ? Parece que las marcas ya quieren extinguir varios autos que eran buenos para el público al que estaban destinados . ",0
128,"Compra más inteligente : comprar el cívic seminuevo ya que baje de precio , porque ",0
132,". Para mí gusto feo , ",0
136,anterior . Dime que no les quieres tirar a Honda por el precio sin decirme que no le quieres tirar a Honda por el precio . ,0
140,". El único sedan que me enamora es el Volvo S60 , te lleva mas haya de un Señor , te hace un Caballero . ",0
150,. Se mandaron con los precios y decirlo de frente es lo mejor . Es honestidad . Y se valora . ,0
159,", con facelift y todo ... ",0
162,por eso la MAZDA CX-30 ya es la más apetecida/solicitada/comprada x los colombianos ... muy ESPARTANA .... la verdad no enamora ni sus precios .... ,0
172,Y tienes toda la razón . 600 mil para que haga 8 seg de 0-100km/h . ,0
176,". El digital cockpit del GLI si da informacion del radio y mas , te lo digo porque yo lo acabo de comprar y no soy un bagueto como tu lo llamas despectivamente , yo no llamo a los que compran autos japoneses los Alucines verdad . Antes de comprarlo fui a ver a los AUDI , MERCEDES , MAZDA , KIA y MINI . Los AUDIS para ese mismo precio del GLI super austeros y con mucho menos potencia , El mercedes no manches motor super escaso si bonito pero aun mucho mas caro que el GLI y eso que era la version mas austera , ",0
209,". Despues de varios años de tener Jeep les puedo decir que no es un auto para moda en ciudad , no está diseñado para chulearlo en la plaza ; es lento , pesado e incomodo de manejar . Es un auto para ir fuera de carretera y punto . ",0
215, Pero pagar casi 600 000 por un carro con transmisión CVT ? ! ! ! No gracias . ,0
221,🤑 . Honda siempre ha estado arriba en cuanto a precio con su competencia pero ahora si se la volaron jajaja .  ,0
222,". Si se la volaron , ni que fuera premium el precio esta carisimo , la seguridad activa comienza en la versión más cara , de casi 600 mil pesos , un versa ofrece algo similar por 200 mil pesos menos ,  ",0
225,", si no les alcanza ahí tienen a las Chinitas 😂😂😂😂😂😂😂😂 A dónde hemos llegado , un Civic de casi 600 mil pesos , yo en lo personal me iría con la competencia , ",0
254,Tal parece que sacaron tremenda porquería con el único objetivo de hacer el ridículo . ,0
257, Al menos parece ser mejor que el Baic X25 😅 ( nada contra Baic pero ése video fue épico )  ,0
273,"La hunter es insegura, pero bonita",1
284,El freno electrónico no permite hacer derrapes!mejor que sea manual en un gt!,1
287,Muy Bonito pero caro a mi parecer.,1
300, lo único que detiene al 90% de la población para comprar un híbrido o eléctrico es el precio,1
303,"Mientras no sean accesibles los autos eléctricos e híbridos, la población aun seguirá consumiendo autos de combustión interna ",1
305,Todos tendríamos un tesla o un Bmw i8 si estuvieran abajo del millón de pesos,1
335,Jimny with a thin street tyre can keep up with jeep with fat offroad tyres,1
