,Commment,Category
1,"no me jodan 😂 . Nano SUV ? Eso no tiene nada de SUV ,",0
2,"Esas malditas estrategias de marketing para vender más y lo más triste es que el grueso de la gente se cree que autitos tales como el JAC E sei 1 o el Suzuki Ignis sean SUV . Por dios que mal momento para el entusiasta automotor . Solo 2 bolsas de aire , sin control de estabilidad , sin llanta de refaccion y $ 500,000 pesos puff",0
4,". Trabajo en una arrendadora y tengo tantos problemas con los clientes que arrendan un JAC por fallas y pésimo servicio de garantía que la verdad ya preferí no trabajar con esa marca ,",0
7,Buena relacion valor ( equipamiento ) vs precio ..... pero en manejo queda a deber ...,0
8,.... No joda con freno de mano electrónico ! !,0
9,! ! . Ya se,0
10,😒 Kia parece chino en andar copiandole todo a los europeos .,0
11,"no se , para mi seguirá siendo un Forte `` camionetita '' ; ) . Me encantan los Hatchback , he tenido varios , desde el Focus st , golf GTI , Audi A3 , León , el viejo León Cupra , un caliber srt4 , ese lo tengo aún , un Volvo V40 CC T5 , que me salvó la vida , , y mi Infiniti QX30 , y",0
12,"a diferencia de lo que dice Gabo , en lo personal no pagaría casi 450mil por este auto . Mi opinión , saludos . Creo que su aspecto sera su peor enemigo ,",0
13,buen video . Pues mucho mejor que,0
14,"Yo en lo personal no perdono que el mazda no traiga pantalla touch ! que pedo ! y por eso acabo de apartar el Forte GT en este en ese color ocaso con tonos naranja oscuro que se ve tan sexy . 😍🥰 Aunque tiene apeido gt , se que es el del entrada pero realmente lo comparo con el mazda 3 , creo que es mejor ponerlo contra un civic o un mazda 3 que contra un gti o un cupra que ya le quedan muy lejos en precio y caballos y torque .... osea el forte cuesta 427 y el mazda 410 y hasta se parecen mucho en diseño exterior , la neta una comparación entre mazda y este seria super cool y se que este gana y por eso lo compre . Se maneja muy bien , excelente calidad tenia un 2018 lo tuve que vender .",0
15,Seguro : CARISIMO ! . lo recomiendo solo para solteros o personas sin hijos . Presenta problemas de ruido dentro de cabina a bajas velocidades,0
16,"A criterio propio , no se merece la estrella , no piensa en los ocupantes de atrás , hasta un bora 2007 tiene salidas de AC para ocupantes traseros , y es un auto de hace mas de 13 años ,",0
18,Sus llantas son un dolor de cabeza en un año ya reventé 3 llantas por los baches ! ! !,0
19,"las plazas traseras son las peores de la categoria ,",0
21,"Prefiero que dure viéndose bien , a que le metan muchas cositas apantalladoras que no te van a durar ni el año . Esta nueva línea no me gusta , era mejor la anterior que era muy buena ,",0
22,". Saludos , buen video .",0
23,". Compre este auto en versión isport y me encanta , corre de maravilla , es cómodo , la parte de atrás si esta muy desatendida y poco espacio pero como ahí solo viaja mi hija de 5 años , es espacio más que suficiente y de sobra para ella .",0
24,"( velocidad máxima en que lo he podido correr por el tipo de carretera pero lo hace con la mano en la cintura ) en ciudad baja abruptamente hasta 8 km por litro aún pisándole suave , tómenlo en cuenta si buscan algo rendidor para andar en ciudad principalmente . Respecto de pasar los topes de lado tengo muchas reservas . Esto porque",0
25,jaja . ¿Porque se esfuerzan tanto en que mazda `` encaje '' en el segmento premium ?,0
26,imaginen que tan lejos está mazda ...,0
27,como dice el admin mazda es una armadora que da mucha lana a los medios y en este creo que no es la excepción mazda no es ni sera premium .,0
28,. Mazda es una gran marca que hace grandísimos coches y que cada vez lo hace mejor y creo que ya es una marca con productos premium .,0
29,Gracias por el vídeo . AQUIME QUEDE Creo que exageraste gabo no creo que sea la estrella de si segmento le encontré muchos defectos,0
